LHS,RHS,Count
NP-SBJ,DT NN NN,36
DT,A,31
NN,record,15
NN,date,3
VP,VBZ RB VP,35
VBZ,has,175
RB,n't,159
VP,VBN VP,54
VBN,been,86
VP,VBN NP,136
VBN,set,10
NNP,Bell,1
VP,VBN NP PP-LOC-CLR,23
VBN,based,18
NNP,Los,8
NNP,Angeles,6
VP,VBZ CC VBZ NP,2
VBZ,makes,5
VBZ,distributes,1
NP,UCP NNS,4
UCP,"JJ , NN CC NN",1
JJ,electronic,3
NN,computer,15
NN,building,8
NNS,products,16
NP-SBJ,NNS,116
NNS,Investors,3
VP,VBP VP,179
VBP,are,203
VP,VBG PP-CLR S-CLR,1
VBG,appealing,2
NP,DT NNPS CC NNP NNP,2
NNPS,Securities,10
NNP,Exchange,11
NNP,Commission,6
S-CLR,NP-SBJ RB VP,1
NP-SBJ,-NONE-,1381
RB,not,76
VP,VB NP,386
VB,limit,3
PRP$,their,96
NN,access,4
PP,TO NP,181
NN,information,8
NP,NN NNS CC NNS,2
NN,stock,38
NNS,purchases,10
NP,JJ NNS,395
JJ,corporate,14
NNS,insiders,7
S,"S-TPC , NP-SBJ VP .",48
S-TPC,NP-SBJ VP,102
NP-SBJ,DT NNP NN S,1
NNP,SEC,12
NN,proposal,7
VB,ease,4
NP,NN NNS,140
NN,reporting,1
NNS,requirements,2
NP,DT NN NNS,29
DT,some,70
NN,company,103
NNS,executives,17
MD,would,122
VB,undermine,1
NP,NP PP PP,44
NN,usefulness,2
IN,on,231
NN,insider,2
NNS,trades,2
IN,as,185
NP,DT JJ NN,490
JJ,stock-picking,1
NN,tool,3
NP-SBJ,NP CC NP,42
JJ,individual,3
NNS,investors,30
NP,JJ NN NNS,41
JJ,professional,2
NN,money,28
NNS,managers,4
VP,VBP SBAR,66
VBP,contend,2
S,-NONE-,235
-NONE-,*T*,868
PRP,They,21
VBP,make,7
NN,argument,2
NP,NNS,501
NNS,letters,6
NN,agency,31
NP,NP VP SBAR,4
NN,rule,8
NNS,changes,13
VP,VBD NP NP-TMP,3
VBD,proposed,2
NP-TMP,DT JJ NN,2
DT,this,100
JJ,past,17
NN,summer,6
SBAR,"WHNP , S",3
WHNP,IN,17
IN,that,220
S,"PP-LOC , NP-SBJ VP",6
IN,among,15
JJ,other,79
NNS,things,12
VP,VB NP PP-CLR,58
VB,exempt,1
NP,JJ JJ NNS,59
JJ,many,23
JJ,middle-management,1
PP-CLR,IN S-NOM,32
S-NOM,NP-SBJ VP,172
VP,VBG NP,202
VBG,reporting,2
NP,NP PP-LOC,195
NP,NP NNS,37
NP,PRP$ JJ NNS POS,1
JJ,own,17
NNS,companies,31
POS,',36
NNS,shares,40
S,NP-SBJ ADVP VP .,37
NP-SBJ,DT VBN NNS,3
VBN,proposed,11
ADVP,RB,400
RB,also,71
VP,VB S,91
VB,allow,9
VP,VB NP ADVP-TMP,8
VB,report,3
NNS,exercises,1
NNS,options,8
ADVP-TMP,ADVP CC ADVP,1
ADVP,RBR,14
RBR,later,7
ADVP,RBR RB,4
RBR,less,10
RB,often,8
NP-SBJ,NP PP,223
NP,JJ,42
JJ,Many,10
NP,DT NNS,237
VBP,maintain,2
SBAR,IN S,223
S,S : CC S : SBAR,1
NP-SBJ,NN NN,7
NN,investor,3
NN,confidence,1
VP,VBZ VP,212
VP,ADVP VBN PP SBAR,1
RB,so,36
VBN,shaken,1
NP-LGS,DT CD NN NN NN,1
CD,1987,10
NN,market,49
NN,crash,8
SBAR,-NONE-,33
-NONE-,*RNR*,14
:,--,98
S,NP-SBJ ADVP-TMP VP,32
NP-SBJ,DT NNS,78
ADVP-TMP,RB,203
RB,already,9
VP,ADVP VBN NP PP SBAR,1
VBN,stacked,1
IN,against,47
JJ,little,11
NN,guy,3
NP-SBJ,NP PP-LOC,52
DT,any,31
NN,decrease,1
NN,insider-trading,2
NNS,patterns,2
MD,might,27
VB,prompt,1
NNS,individuals,1
VP,VB ADVP-DIR ADVP,1
VB,get,20
ADVP-DIR,RB PP,10
RB,out,13
NNS,stocks,4
RB,altogether,2
,SINV,95
SINV,"`` S-TPC , '' VP NP-SBJ PP-LOC .",1
NP-SBJ,DT NNP,46
VP,VBZ ADVP VP,13
RB,historically,1
VP,VBN NP PP-CLR,81
VBN,paid,9
NN,obeisance,1
NN,ideal,2
NP,DT JJ NN NN,59
JJ,level,2
NN,playing,3
NN,field,11
VP,VBD S,119
VBD,wrote,10
NP,NNP NNP NNP,77
NNP,Clyde,1
NNP,S.,2
NNP,McGregor,1
NP,"NP , NP ,",32
NNP,Winnetka,1
NNP,Ill.,1
CD,one,67
NP,NP SBAR,219
NP,DT CD NNS,17
CD,92,2
SBAR,WHNP S,455
WHNP,-NONE-,94
NP-SBJ,DT NN,297
VP,VBN NP SBAR-TMP,4
VBN,received,4
SBAR-TMP,IN S,55
IN,since,18
VBD,were,95
VP,VBN NP NP-TMP,8
NNP,Aug.,2
CD,17,4
S,`` ADVP NP-SBJ VP . '',2
RB,Apparently,1
NN,commission,3
VP,VBD RB ADVP VP,2
VBD,did,29
RB,really,8
VP,VB PP-CLR,65
VB,believe,3
PP-CLR,IN NP,401
S,"ADVP-TMP , NP-SBJ VP .",19
RB,Currently,1
NNS,rules,6
VP,VBP S,33
VBP,force,1
NP-SBJ,"NP , NP CC NP",5
NNS,directors,7
VP,VB NP PP-TMP,19
NP,NNS CC NNS,7
NP,PRP$ NNS POS,2
IN,within,9
NP,NP PP-TMP,22
NP,QP NN,52
QP,IN DT,1
NN,month,22
IN,after,49
NN,transaction,13
S,"CC NP-SBJ , PP , VP .",1
CC,But,85
CD,25,10
NN,%,250
PP,VBG PP,21
VBG,according,15
NP,NNP NNS,33
NNS,figures,6
VP,VBP NP ADVP-TMP,2
VBP,file,1
NP,PRP$ NNS,91
NNS,reports,8
RB,late,4
SINV,"S-TPC , '' VP NP-SBJ .",5
VP,VBN NP PP-LOC,26
NP,DT NN S,21
NN,effort,5
VP,VP CC VP,122
VB,streamline,2
NP,JJ NN,165
JJ,federal,24
NN,bureaucracy,2
VB,boost,3
NN,compliance,1
NP,NP `` SBAR,1
WHNP,WP,133
WP,who,106
VP,VBP ADVP VP,10
VBG,calling,5
NNS,shots,1
NP-SBJ,"NP , NP",41
NNP,Brian,1
NNP,Lane,6
JJ,special,11
NN,counsel,3
NP,"NP , SBAR",66
NP,NP NN,115
NP,DT NNP POS,8
NN,office,15
NP,NN NN,87
NN,disclosure,1
NN,policy,7
WHNP,WDT,237
WDT,which,118
VP,VBD NP,193
S-TPC,"S , CC S",13
NNS,officials,25
VP,VBD PP-TMP-CLR S,1
VBD,had,82
PP-TMP-CLR,IN NP,3
IN,until,15
NN,today,15
VB,comment,5
NNS,proposals,5
NN,issue,29
VBN,produced,4
NP,JJR NN,6
JJR,more,66
NN,mail,4
IN,than,93
NP,ADJP JJ NN,5
ADJP,RB DT,2
RB,almost,9
NN,memory,4
NNP,Mr.,237
VP,MD ADVP VP,22
RB,probably,7
VP,VB PP-CLR NP-TMP,1
VB,vote,3
NP-TMP,RB JJ NN,1
RB,early,7
JJ,next,23
NP-SBJ,NP SBAR,47
NP,RB PDT DT,1
RB,Not,4
PDT,all,10
DT,those,28
VP,VBD,14
VP,VBP NP,77
VBP,oppose,2
S,NP-SBJ VP . '',36
NP-SBJ,NP PP PP,7
NNP,Committee,4
NNP,Federal,8
NNP,Regulation,1
NP,NNPS,9
NP,DT NNP NNP NNP,21
NNP,American,10
NNP,Bar,2
NNP,Association,9
VP,"VBZ , PP , PP-LOC , SBAR",1
VBZ,argues,1
NN,example,14
NP,PRP$ JJ NN,50
JJ,lengthy,2
NN,letter,7
S,NP-SBJ `` VP,9
VP,ADVP-MNR VB NP PP-MNR,1
RB,substantially,1
VB,improve,8
NP,DT PRN,2
PRN,-LRB- NN -RRB-,1
-LRB-,-LCB-,18
NN,law,30
-RRB-,-RCB-,18
PP-MNR,IN S-NOM,22
VP,VBG NP ADVP-MNR PP-CLR,1
VBG,conforming,1
NP,PRP,188
ADVP-MNR,RBR RB,2
RBR,more,44
RB,closely,7
JJ,contemporary,3
NN,business,37
NNS,realities,1
S,SBAR-NOM-SBJ VP .,3
SBAR-NOM-SBJ,WHNP S,4
WP,What,9
NP,DT VBN NNS,5
VP,VBP PP-CLR ADVP,1
VBP,object,1
ADVP,RBS,1
RBS,most,17
VP,VBZ NP-PRD,115
VBZ,is,335
NP-PRD,NP SBAR,22
NN,effect,8
PRP,they,107
VBP,say,22
VB,have,58
NP,PRP$ NN S,5
NN,ability,2
VB,spot,1
NP,NP : NP,22
NP,JJ `` NNS '',2
JJ,telltale,1
NNS,clusters,1
NN,trading,12
NN,activity,6
NP,NP PP PP-TMP,11
NP,NN CC NN,14
NN,buying,5
CC,or,119
NN,selling,1
NP,QP NN CC NN,1
QP,JJR IN CD,13
NN,director,19
JJ,short,4
NN,period,10
NN,time,41
S,"PP , NP-SBJ VP .",52
VBG,According,5
NNS,estimates,7
NP-SBJ,DT NN NNS,5
VP,VB NP PP-EXT,1
VB,cut,7
NNS,filings,4
PP-EXT,IN NP,9
NP,JJR,11
NN,third,1
NP-SBJ,NP NNP NNP,5
VP,ADVP-MNR VBD NP,3
RB,vehemently,2
VBD,disputed,1
VB,eliminate,2
NP,"NP , PP",17
NP,NNS VBG NNS,1
VBG,policy-making,1
NNS,divisions,1
PP,JJ IN NP,25
JJ,such,57
NP,"NP , NP , NP CC NP",9
NN,marketing,10
NN,finance,6
NN,research,11
NN,development,9
S-TPC,NP-SBJ ADVP VP,5
ADJP-PRD,JJR PP,1
JJR,tougher,3
NP,NP VP,169
VP,ADVP-TMP JJ S,1
RB,still,21
JJ,required,4
VB,file,5
NNS,Companies,1
VP,VB VP,120
VP,VBN S,77
VBN,compelled,2
VP,VB PP-LOC NP,1
VB,publish,1
JJ,annual,9
NN,proxy,1
NNS,statements,2
NNS,names,3
VBP,fail,1
S,S-ADV PRN NP-SBJ `` VP . '',1
S-ADV,NP-SBJ VP,95
VP,VBN PP-CLR,14
VBN,Considered,1
NN,whole,2
PRN,", S ,",32
NP-SBJ,NP VP,38
VBN,required,6
IN,under,28
VP,VB ADJP-PRD PP,1
ADJP-PRD,ADVP JJ PRN,1
ADVP,IN RBS IN,1
RBS,least,1
JJ,effective,7
PRN,", SBAR-ADV ,",4
SBAR-ADV,IN FRAG,4
IN,if,48
FRAG,RB ADVP,1
VBG,following,6
NNS,transactions,7
S,CC NP-SBJ VP .,52
NNP,Robert,8
NNP,Gabele,1
NP,"NP , NP",90
NNP,Invest\/Net,1
NP,DT NAC-LOC NN,3
NAC-LOC,"NNP NNP , NNP ,",3
NNP,North,7
NNP,Miami,1
NNP,Fla.,1
WDT,that,121
VBZ,packages,1
VBZ,sells,4
NNS,data,3
VP,VBN NP ADVP-MNR,1
VBN,worded,1
ADVP-MNR,ADVP SBAR,4
ADVP,RB RB,23
RB,vaguely,1
NP-SBJ,JJ NNS,42
JJ,key,6
MD,may,42
VB,fail,1
VP,VBD S-ADV,1
VP,VBG NP S,8
VBG,asking,4
VB,require,5
NP,PRP$ NNS CC NNS,3
ADVP-TMP,"ADVP , RB ADVP",1
RB,immediately,4
ADVP,NP RB,2
RB,later,3
S,"SBAR-ADV , NP-SBJ VP",10
SBAR-ADV,IN S,99
IN,while,17
VP,VBZ SBAR-NOM,3
VBZ,regulates,1
SBAR-NOM,WHNP S,9
VP,VBZ,9
VBZ,files,1
VP,VBZ NP SBAR,1
VBZ,tells,1
PRP,them,39
SBAR,WHADVP S,67
WHADVP,WRB,98
WRB,when,53
VP,VB ADVP-PRD ADVP-TMP,1
VB,do,10
ADVP-PRD,RB,2
ADVP-TMP,-NONE-,69
VBP,want,10
VB,change,4
NN,timing,3
MD,should,13
VB,write,2
NNS,representatives,1
NNP,Congress,10
VBD,added,13
RB,likely,2
ADJP-PRD,JJ PP,30
JJ,amenable,1
NN,legislation,3
VBD,required,1
VP,VB NP PP-MNR,4
PP-MNR,IN NP,44
NP,DT ADJP NN,49
ADJP,RBR JJ,20
JJ,timely,1
NN,basis,5
NP-SBJ,"NP , SBAR ,",42
NP,NP JJS NN NN,2
NP,DT NN POS,111
NN,nation,8
JJS,largest,20
NN,pension,6
NN,fund,18
VP,VBZ NP PP-PRP,2
VBZ,oversees,1
NP,QP -NONE-,127
QP,$ CD CD,119
$,$,213
CD,80,2
CD,billion,48
-NONE-,*U*,220
PP-PRP,IN NP,29
NN,college,3
NNS,employees,15
VBZ,plans,3
VP,VB NP PP-DTV,8
VB,offer,2
NP,CD JJ NN NNS,1
CD,two,72
NN,investment,20
PP-DTV,TO NP,24
NP,PRP$ QP NNS,2
QP,CD CD,73
CD,1.2,1
CD,million,138
NNS,participants,4
NP-SBJ,DT NNPS NNP CC NNP NNP NNP NNPS NNP,1
NNPS,Teachers,1
NNP,Insurance,3
NNP,Annuity,1
NNP,Association-College,1
NNP,Retirement,1
NNPS,Equities,1
NNP,Fund,4
VB,introduce,3
NP,"NP , CC NP",18
NP,DT NN CC NN NN,3
NN,bond,8
VB,invest,4
NP,`` ADJP '' NNS,1
ADJP,RB JJ,66
RB,socially,1
JJ,responsible,5
NP,DT NN NN,180
DT,Both,7
NNS,funds,15
VBN,expected,20
VP,"VB NP PP-TMP , ADJP-ADV",1
VB,begin,9
NN,operation,8
IN,around,3
NP,NNP CD,25
NNP,March,8
CD,1,17
ADJP-ADV,JJ PP,2
JJ,subject,6
NP,NNPS CC NNP NNP NN,1
NN,approval,7
S,"SBAR-ADV , NP-SBJ ADVP VP .",2
IN,For,27
NP-SBJ,PRP$ NNS,15
VP,VB PRT PP-CLR,5
VB,sign,2
PRT,RP,132
RP,up,57
MD,must,12
VB,approve,1
NN,plan,19
NP-SBJ,QP NNS,1
QP,DT CD,7
DT,Some,13
CD,"4,300",1
NNS,institutions,10
VP,VBP NP-PRD,22
NP-PRD,NP PP,107
NN,part,32
NP-SBJ,DT JJ NNS,15
VP,VBP PRT NP,3
VBP,carry,2
RP,out,21
NN,agreement,20
S,"NP-SBJ , S-ADV , VP",3
S-ADV,NP-SBJ PP-PRD,1
PP-PRD,IN NP,30
NP,NN S,5
NN,pressure,6
VB,relax,1
NP,PRP$ JJ NN NNS,1
JJ,strict,3
NN,participation,4
VB,provide,9
NP,JJR NN NNS,5
VP,VBN NP PP PP-TMP,6
VBN,reached,5
IN,with,249
NNP,December,8
NP-SBJ,DT JJ `` JJ NN '' NN,1
JJ,social,3
NN,choice,2
VB,shun,1
NNS,securities,34
VBN,linked,1
NP,"NP , NP CC PP-LOC , NP",1
NNP,South,12
NNP,Africa,1
JJ,nuclear,8
NN,power,12
NNS,cases,7
NNP,Northern,2
NNP,Ireland,1
SINV,ADVP VP-TPC VP NP-SBJ .,1
RB,Also,3
VP-TPC,VBN NP,1
VBN,excluded,1
VP,-NONE-,18
NNS,investments,8
NP,`` JJ '' NN,2
JJ,significant,6
VP,VBG PP-CLR,36
VBG,stemming,1
NP,"NP , NP CC NP",29
NP,NNS NN,5
NNS,weapons,8
NN,manufacture,1
JJ,alcoholic,1
NNS,beverages,1
NN,tobacco,2
NP,CD NN,140
CD,Sixty,1
NN,percent,1
VP,"VBN NP PP-LOC-CLR , PP",1
VBN,invested,1
PP,IN S-NOM,79
NN,rest,6
VP,VBG PP-DIR,8
VBG,going,18
IN,into,47
NNS,bonds,23
JJ,short-term,7
ADJP,JJ CC JJ,22
JJ,high-grade,1
JJ,medium-grade,1
NNS,mortgages,12
JJ,asset-backed,2
PP,VBG NP,24
VBG,including,22
QP,JJ RB IN CD,1
JJ,as,1
RB,much,17
JJ,foreign,22
VP,"VB CC VB NP , ADJP-ADV",1
VB,buy,15
VB,sell,16
NP,NNS CC NNS NNS,1
NNS,futures,1
NNS,contracts,3
NP,DT NNP NNP NNP NNP NNP,3
NNP,New,42
NNP,York,21
NNP,State,8
NNP,Department,8
IN,Under,10
NP,CD JJ NNS,10
NNS,features,2
VP,VB ADJP,1
ADJP,JJ S,1
JJ,able,15
VP,VB NP PP-DIR PP-DIR,1
VB,transfer,2
NP,DT JJ NNS,63
VP,PRN VB NP PP-DIR,1
NNS,jobs,6
VBN,terminated,1
VB,receive,3
NN,cash,15
S,NP-SBJ ADVP-TMP VP .,23
NNS,choices,1
VBN,offered,12
NP-LGS,DT NN NN,2
RB,currently,7
VBN,limited,2
NN,annuity,1
NN,money-market,1
NP,NNP NNP NNP NNP,24
NNP,Brunswick,1
NNP,Scientific,1
NNP,Co.,44
NP,NN NN CC NN,1
NN,biotechnology,3
NN,instrumentation,2
NN,equipment,3
VBD,adopted,1
JJ,anti-takeover,1
VP,VBG NP NP,3
VBG,giving,5
NNS,shareholders,16
NN,right,8
VP,VB NP PP PP-TMP,2
VB,purchase,3
JJ,half,4
NN,price,18
JJ,certain,14
NNS,conditions,2
S-ADV,NP-SBJ PP-PRD PP-TMP,1
VB,protect,4
PP-CLR,IN `` NP,3
JJ,abusive,2
NN,takeover,10
NNS,tactics,3
NP-SBJ,"NP , ADJP , NP ,",3
NNP,W.,2
NNP,Ed,1
NNP,Tyler,1
ADJP,NP JJ,6
CD,37,3
NNS,years,76
JJ,old,13
JJ,senior,20
NN,vice,27
NP,DT VBG NN,13
VBG,printing,1
NN,concern,18
VBN,elected,4
S,NP-SBJ NP-PRD,39
NP-PRD,"NP , NP",5
NP,PRP$ NN NN,18
NN,technology,6
NN,group,34
NN,position,9
NP-SBJ,JJ NN NNS,9
JJ,Solo,1
NN,woodwind,1
NNS,players,7
VP,"VBP S SBAR-ADV , SBAR-PRP",1
VBP,have,115
JJ,creative,3
VP,VB NP-ADV,1
VB,work,11
NN,lot,6
SBAR-PRP,IN S,39
IN,because,38
NP-SBJ,PRP$ NN CC NN NN,1
NN,repertoire,2
NN,audience,7
NN,appeal,2
VP,VBP ADJP-PRD,45
JJ,limited,8
S,S : S .,27
NP-SBJ,DT NN NNP NNP,1
NN,oboist,1
NNP,Heinz,1
NNP,Holliger,1
VBN,taken,14
JJ,hard,5
NN,line,8
NN,problem,9
:,:,74
PRP,He,61
VP,"VP CC VP , SBAR-PRP",1
VP,VP CC VP NP,2
VBZ,commissions,1
VP,ADVP-MNR VBZ NP,3
RB,splendidly,1
VBZ,interprets,1
JJ,fearsome,1
NNS,scores,2
VBZ,does,28
NN,conducting,1
IN,so,9
VP,VB NP ADVP ADVP-TMP,1
VB,play,6
NP,DT JJ NNP CC NNP NNS,1
JJ,same,8
NNP,Mozart,1
NNP,Strauss,1
NNS,concertos,1
ADVP,RB CC RB,1
RB,over,5
RB,again,7
NNP,Richard,10
NNP,Stoltzman,10
NP,"DT JJR , ADJP NN",1
JJR,gentler,1
JJ,audience-friendly,1
NN,approach,7
S,"ADVP-TMP , NP-SBJ VP . ''",2
ADVP-TMP,NP RB,31
NNS,Years,1
RB,ago,21
VP,VBD PP-CLR PP-LOC,1
VBD,collaborated,1
NP,NP NP,56
NP,DT JJ NN NNS,6
NN,music,6
NNS,gurus,1
NNP,Peter,5
NNP,Serkin,1
NNP,Fred,1
NNP,Sherry,1
NP,DT ADJP NN NN,6
RB,very,18
JJ,countercultural,1
NN,chamber,3
NNP,Tashi,2
VP,VBD NP ADVP-CLR,1
VBD,won,3
NNS,audiences,3
ADVP-CLR,RP PP,2
RP,over,12
JJ,dreaded,1
IN,like,18
NP,NP `` NX-TTL,2
NNP,Messiaen,1
NX-TTL,NP PP,2
NN,Quartet,1
NN,End,1
NN,Time,1
S,"NP-TMP , NP-SBJ VP .",11
NP-TMP,NN,32
NN,Today,3
JJ,pixie-like,1
NN,clarinetist,3
VP,VP CC ADVP-TMP VP,1
RB,mostly,3
VP,VBN NP PRN,1
VBN,dropped,3
JJ,missionary,1
NN,work,13
PRN,-LRB- SBAR-ADV -RRB-,1
IN,though,6
NN,touch,2
NP,DT JJ NNP,2
VBZ,survives,1
RB,now,38
VP,VBZ PP-CLR PP,1
VBZ,goes,3
NN,road,3
NP,"NP , NP , NP , CC NP",2
NN,piano,1
NN,bass,1
NN,slide,3
NN,show,2
VP,"VBZ PP-DIR , PP",1
VBZ,ranges,1
PP-DIR,PP PP PP,1
NP,JJ JJ,1
JJ,light,9
JJ,classical,2
NN,jazz,4
NN,pop,2
NP,DT JJ JJ NNS,12
JJ,few,18
JJ,notable,1
NNS,exceptions,2
,FRAG,30
FRAG,NP PP .,1
NP,RB DT NN,3
RB,Just,2
NN,thing,6
JJ,Vivaldi-at-brunch,1
NN,set,3
NN,yuppie,1
VBN,embraced,1
NNP,Age,1
NP,PRP$ ADJP JJ NN,1
JJ,easy,3
NN,listening,1
PRP,you,34
VP,MD RB VP,42
MD,ca,10
VB,dismiss,1
NP,NNP NNP POS,85
PRP$,his,133
NNS,motives,2
PP-CLR,RB ADJP,1
RB,as,30
ADJP,RB JJ CC JJ,2
RB,merely,2
JJ,commercial,14
JJ,lightweight,1
S,"S , CC S .",51
VP,VBZ PP-CLR,15
VBZ,believes,4
PP-CLR,IN SBAR-NOM,1
WP,what,18
VP,VBZ ADVP-MNR,2
RB,superbly,1
NP-SBJ,"NP PP-LOC , VP",1
PRP$,His,7
JJ,recent,16
NN,appearance,4
NP,DT NNP NNP,49
NNP,Metropolitan,2
NNP,Museum,1
VBN,dubbed,3
S,"NP-SBJ `` NP-TTL-PRD , ''",1
NP-TTL-PRD,DT JJ NN,1
JJ,Musical,1
NN,Odyssey,1
VP,VBD NP-PRD,42
NN,case,25
NN,point,3
PRP,It,46
VP,VBD PP-CLR,24
VBD,felt,2
PP-CLR,PP PP,5
PP,ADVP IN NP,11
NP,"NP , CC NP ,",8
NN,party,5
RB,highly,7
JJ,polished,1
NN,jam,2
NN,session,6
NNS,friends,2
NN,concert,2
S,"S-ADV , NP-SBJ VP .",18
VBN,Clad,1
NP,PRP$ NN JJ NN NN,1
NN,trademark,1
JJ,black,8
NN,velvet,1
NN,suit,5
JJ,soft-spoken,1
VBD,announced,13
SBAR,"SBAR , SBAR , CC SBAR",1
NP-SBJ,"NP , `` NP-TTL , ''",1
NN,album,1
NP-TTL,JJ NNS,2
JJ,Inner,2
NNS,Voices,2
VP,VBD ADVP VP,4
RB,just,34
VBN,released,3
NP-SBJ,PRP$ NN,23
NN,family,9
VP,VBD PP-LOC-PRD,3
PP-LOC-PRD,IN NP,21
NN,front,3
NN,row,2
S,"S , RB S",1
NP-PRD,NP NN,1
NP,PRP$ NN POS,3
NN,mother,1
NN,birthday,1
VP,VBG S,51
PRP$,her,16
JJ,favorite,2
NN,tune,3
VP,VBD PP-DIR PP,2
VBD,launched,2
NP,"NP , '' NP ,",1
NP,NP `` NX-TTL '',1
NNP,Saint-Saens,2
NX-TTL,DT NN,1
NN,Swan,1
PP,IN `` NP-TTL,2
NP-TTL,NP PP,2
NN,Carnival,1
NNS,Animals,1
NN,encore,1
NN,piece,4
NNS,cellists,1
NP,"JJ , JJ NN",2
JJ,lovely,3
JJ,glossy,2
NN,tone,2
DT,no,40
NN,bite,1
S,"RB , SBAR-ADV , NP-SBJ VP .",1
RB,Then,6
SBAR-ADV,IN IN S,1
VP,VB SBAR,45
VB,show,5
MD,could,52
VP,VB ADVP-MNR ADVP,1
RB,fast,2
ADVP,IN RB,1
RB,well,17
VBD,offered,4
JJ,second,17
NN,movement,8
NP,NP NX-TTL,1
NN,Sonata,1
NN,Clarinet,1
NP,"DT JJ , JJ NN",7
JJ,whimsical,1
JJ,puckish,1
NN,tidbit,1
VBD,reflected,1
JJ,flip,1
NN,side,6
NP,DT NNP NN,49
NN,personality,1
,UCP,2
UCP,S : NP .,1
S,CC ADVP-TPC NP-SBJ VP,1
CC,And,32
ADVP-TPC,RB,1
